Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
22-Sep-09,Bernard Madoff Investors,Dallas,Texas,PORT,BSF,"2,246","More than 2,200 Bernard Madoff 
            investors are learning that some of their personal and financial information 
            has potentially been breached after the theft of a laptop in Dallas. 
            The names, addresses, Social Security numbers and some Madoff account 
            information on 2,246 investors was contained in a computer stolen 
            from the car of an employee of AlixPartners Llp.",Dataloss DB,,2009,32.802955,-96.769923
21-Sep-09,Rocky Mountain Bank,Pinedale,Wyoming,DISC,BSF,"1,325","A customer of the Rocky Mountain 
            Bank asked a bank employee to send certain loan statements to a representative 
            of the customer. The employee, however, inadvertently sent the e-mail 
            to the wrong Gmail address. Additionally, the employee had attached 
            a sensitive file to the e-mail that should not have been sent at all. 
            The attachment contained confidential information on 1,325 individual 
            and business customers that included their names, addresses, tax identification 
            or Social Security numbers and loan information.",Dataloss DB,,2009,42.86661,-109.860986
14-Sep-09,Jones General Store/Root of the Hill,Boulder,Colorado,PHYS,BSR,0,"Boulder police are investigating 
            two burglaries on University Hill that could have compromised some 
            local shoppers' personal and credit card information. A manager for 
            Jones General Store called police to report an overnight break-in 
            and theft of credit card receipts. A short time later, an owner of 
            Root of the Hill, a business in the same building, called officers 
            to report a break-in, theft and extensive vandalism.",Dataloss DB,,2009,40.014986,-105.270546
8-Jul-09,AT&T,Chicago,Illinois,INSD,BSO,"2,100","A temporary employee for AT&T 
            was arrested today on charges she stole personal information on 2,100 
            co-workers and then pocketed more than $70,000 by taking out short-term 
            payday loans in the names of 130 of them.",Dataloss DB,,2009,41.850033,-87.650052
18-Jun-09,Suncoast Schools Federal Credit Union,Tampa,Florida,HACK,BSF,"56,000","Some members of Suncoast Schools              Federal Credit Union have been notified that their debit card accounts              were exposed to fraud. It is the latest casualty of last year's breach              of Heartland Payment Systems, one of the country's largest credit              card processors, where information from more than 100 million credit              and debit card transactions was exposed. Not until the end of May              did Suncoast discover that some of its customers who use Visa Check              Cards could be in danger. The Tampa credit union is issuing new cards              to all members whose accounts were compromised.",Media,,2009,27.947522,-82.458428
16-Jun-09,Redondo Beach Arco Gas Station,Redondo Beach,California,INSD,BSR,"1,000","An organized-crime ring that police 
            believe is Russian or Armenian targeted a high-volume Redondo Beach 
            Arco gas station, assigned a low-level soldier to infiltrate it and 
            waited eight months while he worked himself into a position where 
            he could implant a tiny, high-tech skimmer to steal 
            customers' credit-card information. Armed with a fresh batch 
            of personal-information numbers, the gang began draining thousands 
            of Southern California bank accounts soon after Erick, 
            the model employee who was by then entrusted with opening the station 
            every day at 5 a.m., vanished in late April along with 1,500 packs 
            of cigarettes, $1,000, a laptop, his employee application form  -  
            and the two digital video recorders used for surveillance. The skimmer 
            scam left a string of more than 1,000 victims, stretching from Santa 
            Barbara to Newport Beach.",Media,,2009,33.849182,-118.388408
18-May-09,Anderson Kia Car Dealership,Boulder,Colorado,PHYS,BSR,0,"Police have chained up 10 recycling 
          bins outside Boulder's now-defunct Anderson Kia car dealership 
          after learning that the bins were stuffed with personal information 
          from the dealership's former customers. Green recycling bins were 
          piled full with folders, each headed with an individual's name. 
          All of the folders contained Social Security numbers, driver's 
          license information, photos, phone numbers and financial information 
          for Kia customers.",Dataloss DB,,2009,40.014986,-105.270546
27-Apr-09,Federal Reserve Bank of New York,New York,New York,INSD,BSF,0,"A former employee at the Federal 
          Reserve Bank of New York and his brother were arrested on suspicion 
          of obtaining loans using stolen identities. The former employee previously 
          worked as an IT analyst at the bank and had access to sensitive employee 
          information, including names, birthdates, Social Security numbers and 
          photographs. A thumb drive attached to his computer had applications 
          for $73,000 in student loans using two stolen identities. They also 
          found a fake drivers license with the photo of a bank employee who wasn't 
          the person identified in the license.",Media,,2009,40.714269,-74.005973
20-Apr-09,FairPoint Communications Inc.,Charlotte ,North Carolina,PORT,BSO,"4,400","A worker's failure to abide 
          by security precautions caused a portable data-storage device containing 
          employee information to disappear. The device contained information 
          for all current FairPoint employees and some former employees, or about 
          4,400 individuals in total. Such data may have included names, home 
          addresses and phone numbers, Social Security numbers, birth dates and 
          certain compensation and employment information.",Dataloss DB,,2009,35.227087,-80.843127
16-Apr-09,MySpace,Los Angeles,California,INSD,BSO,0,"Confidential employee information, 
          including at least name, Social Security numbers and compensation, 
          was taken by an employee in the company's benefit's department 
          without authorization, beginning in June 2008 or earlier. The information 
          was used to annoy selected individuals and the now former 
          employee was arrested and is being prosecuted by the High Tech Crimes 
          Division of the Los Angeles County District Attorneys Office.",Dataloss DB,,2009,34.052234,-118.243685
10-Apr-09,"Borrego Springs Bank, Vavrinek, Trine, Day and Co.",Borrego Springs,California,PORT,BSF,0,"The theft of seven laptop computers 
          from an auditing firm has led the Borrego Springs Bank to send warning 
          letters to all of its customers saying their personal financial information 
          may be in the hands of criminals. The bank would not comment on the 
          name of the accounting firm that was auditing the records or how or 
          where the thefts occurred. The computer files contain sensitive personal 
          financial information including account name, number and balance.",Dataloss DB,,2009,33.255872,-116.375012
23-Feb-09,Seaview Financial,Corona Del Mar,California,PHYS,BSF,0,"Folders with personal information 
          for numerous clients of a local mortgage broker sat for days at a public 
          recycling site. The files contained bank account statements, completed 
          tax forms, credit reports and Social Security numbers.",Dataloss DB,,2009,33.598078,-117.873112
10-Feb-09,SemGroup LP,Tulsa,Oklahoma,DISC,BSO,160,"Online banking bandits pulled thousands 
          of dollars from the accounts of current and former employees after personal 
          information was inadvertently left on a bankruptcy court document made 
          public.",Dataloss DB,,2009,36.153982,-95.992775
8-Feb-09,Kaspersky,Woburn,Massachusetts,HACK,BSO,0,"An unidentified hacker gained 
            access to databases used by the usa.kaspersky.com Web site, allowing 
            access to users' accounts, activation codes and possibly personal 
            data about Kaspersky customers. Kaspersky Lab is a security software 
            company.",Media,,2009,42.479262,-71.152277
3-Feb-09,SRA International,Fairfax,Virginia,HACK,BSO,0,"Malicious software may have allowed 
            hackers to get access to data maintained by SRA, including employee 
            names, addresses, Social Security numbers, dates of birth and healthcare 
            provider information.",Dataloss DB,,2009,38.846224,-77.306373
31-Jan-09, HoneyBaked Ham,Indianapolis,Indiana,PHYS,BSR,0,"A computer server stocked with 
            credit-card information was stolen from a store. Customers might be 
            at risk.",Dataloss DB,,2009,39.767016,-86.156255
27-Jan-09,Citi Habitats,New York,New York,PHYS,BSO,0,"During a refurbishing of their 
            office, paper that should have been shredded was improperly placed 
            as trash. Information found blowing in the street included bank statements, 
            401k statements, credit reports, tax returns, driver's licenses, names, 
            phone numbers and Social Security numbers.",Dataloss DB,,2009,40.714269,-74.005973
14-Jan-09,Occidental Petroleum Corporation,Dallas,Texas,INSD,BSO,0,"A former employee emailed himself 
            (to personal email account) a spreadsheet of employee names, addresses, 
            empolyee identification numbers, birth dates, starting dates, retirement 
            dates and Social Security numbers.",Dataloss DB,,2009,32.802955,-96.769923
13-Jan-09,"Innodata Isogen, Inc.",Hackensack,New Jersey,PORT,BSO,0,"Laptop stolen from an employee's 
            car contained names, addresses, Social Security numbers of current 
            and former employees.",Dataloss DB,,2009,40.885933,-74.043474
13-Jan-09,Continental Airlines,Neward,New Jersey,PORT,BSO,230,"A laptop containing fingerprints, 
            Social Security numbers, names, addresses, was stolen from a locked 
            Newark office.",Dataloss DB,,2009,40.735657,-74.172367
2-Jan-09,Merrill Lynch,New York,New York,STAT,BSF,0,"A third-party consulting services 
          firm working on behalf of Merrill Lynch reported, one of their employees 
          was burglarized. The burglars took various items, including a computer, 
          which had on it the names and Social Security numbers of current and 
          former Financial Advisors and some applicants for employment.",Dataloss DB,,2009,40.714269,-74.005973
25-Dec-08,Pulte Homes Las Vegas Division,Las Vegas,Nevada,PHYS,BSO,"16,000","A box containing computer backup 
            tapes was stolen. Computer tapes holding private customer information 
            including names, addresses, driver's license numbers and financial 
            account numbers were stolen from a Pulte Homes office in Las Vegas.",Dataloss DB,,2008,36.114646,-115.172816
18-Dec-08,Bill Dube Ford/Toyota,Dover,New Hampshire,PORT,BSR,"10,000","Personal information from thousands 
          of people in New Hampshire and Massachusetts has been compromised after 
          a data backup tape was stolen. The data include names, addresses, Social 
          Security numbers and driver's license information.",Dataloss DB,,2008,43.197862,-70.87367
14-Dec-08,Zyacorp Entertainment Cinemagic Stadium,Merrimack,New Hampshire,HACK,BSR,0,"Hackers broke into a Merrimack movie 
          theater's servers and stole customers' credit card information.",Dataloss DB,,2008,42.865086,-71.4934
11-Dec-08,"Hewlett-Packard, Symantec",Houston,Texas,PORT,BSR,"1,000","Several thousand employee records 
          were contained on a laptop that was stolen from an HP employee based 
          in the Houston area. At first HP thought that there was no sensitive 
          information on the laptop, but after looking into back-up files, the 
          company realized that it contained names and Social Security numbers 
          of current and former employees.",Dataloss DB,,2008,29.763284,-95.363272
21-Nov-08,B.J. Accessories and Tax Preparation,New Bern,North Carolina,STAT,BSO,70,"A computer was stolen containing 
            identity information on about 70 people. Information on the computer 
            may have had Social Security Numbers on it.",Dataloss DB,,2008,35.108493,-77.044114
20-Nov-08,Law office of former Texas attorney,Rio Grande Valley,Texas,STAT,BSO,627,"An individual purchased a used 
            computer and memory stick from a pawn shop. He discovered sensitive 
            information on the computer and traced it to the law office of a Texas 
            attorney who no longer practices law. The attorney, Aaron Pena, Jr., 
            is now a Texas State Representative. His spokesperson told news sources 
            that the computer's hard drive had been wiped before the machine was 
            donated to charity. The news team visited other pawn shops and found 
            several other used computers which also contained sensitive personal 
            information.",Media,,2008,26.128497,-97.524724
27-Oct-08,Shell Oil Co.,Houston,Texas,INSD,BSR,0,"An IT contractor used the personal 
          data of four Shell workers as part of an unemployment insurance claims 
          scam. Employees of a third-party contractor misused information stored 
          in a corporate database. The database includes records for a majority 
          of current and former Shell employees. Misused data included names, 
          dates of birth and Social Security numbers.",Dataloss DB,,2008,29.763284,-95.363272
22-Oct-08,KRM Management,Fresno,California,PORT,BSO,"5,700","Offices of KRM Management were 
            broken into and stole two dozen computers, on one of those hard drives 
            were Social Security numbers, birthdates and addresses. One missing 
            laptop computer is causing the most concern. It contained sensitive 
            and confidential information on close to 5700 city employees who filed 
            worker's comp claims dating back to 1973. Hundreds are or were police 
            officers.",Dataloss DB,,2008,36.747727,-119.772366
17-Oct-08,The Planet,Houston,Texas,UNKN,BSO,"25,000","A security breach that may have 
            affected the customer portal account and server passwords, was discovered. 
            The Planet identified the methods by which the systems were compromised 
            and have closed those holes. Only two user accounts were definitely 
            affected, and no credit card information is believed to have been 
            compromised.",Media,,2008,29.763284,-95.363272
