"date","close","volume","open","high","low"

"2019/03/08","14.6800","73629.0000","14.6800","14.6800","14.6482"
"2019/03/07","14.6900","76551.0000","14.7100","14.7700","14.6800"
"2019/03/06","14.7400","63955.0000","14.7800","14.8000","14.7300"
"2019/03/05","14.8000","69575.0000","14.8100","14.8200","14.7600"
"2019/03/04","14.7900","41053.0000","14.8500","14.8500","14.7800"
"2019/03/01","14.8300","105469.0000","14.8800","14.8800","14.7800"
"2019/02/28","14.8400","87987.0000","14.8500","14.8500","14.7900"
"2019/02/27","14.8200","87403.0000","14.7400","14.8200","14.7400"
"2019/02/26","14.8100","230338.0000","14.6700","14.8100","14.6700"
"2019/02/25","14.6600","73355.0000","14.6000","14.6773","14.6000"
"2019/02/22","14.6100","93926.0000","14.6300","14.6300","14.5800"
"2019/02/21","14.6000","63833.0000","14.5700","14.6000","14.5373"
"2019/02/20","14.5600","79711.0000","14.5300","14.5800","14.5200"
"2019/02/19","14.5400","91210.0000","14.5500","14.5900","14.5200"
"2019/02/15","14.5400","86650.0000","14.5200","14.5800","14.5100"
"2019/02/14","14.5200","187686.0000","14.4300","14.5600","14.4085"
"2019/02/13","14.5200","96319.0000","14.4800","14.5300","14.4800"
"2019/02/12","14.4900","152561.0000","14.5400","14.5550","14.3602"
"2019/02/11","14.5000","73578.0000","14.3900","14.5100","14.3900"
"2019/02/08","14.3900","61890.0000","14.4000","14.4200","14.3900"
"2019/02/07","14.4100","56312.0000","14.4500","14.4600","14.4100"
"2019/02/06","14.4900","49342.0000","14.4600","14.5300","14.4500"
"2019/02/05","14.5000","75394.0000","14.5000","14.5700","14.4700"
"2019/02/04","14.5100","190420.0000","14.4000","14.5429","14.3800"
"2019/02/01","14.4000","137882.0000","14.3300","14.4500","14.3100"
"2019/01/31","14.3200","67947.0000","14.2100","14.3200","14.2000"
"2019/01/30","14.1900","146395.0000","14.1600","14.2100","14.1500"
"2019/01/29","14.1500","73525.0000","14.0500","14.1600","14.0500"
"2019/01/28","14.0500","124299.0000","14.0500","14.0500","14.0000"
"2019/01/25","14.0700","71722.0000","14.0500","14.0700","14.0400"
"2019/01/24","14.0500","96331.0000","14.0500","14.0606","14.0200"
"2019/01/23","14.0500","98364.0000","14.1500","14.1500","14.0000"
"2019/01/22","14.1000","73590.0000","14.0900","14.1200","14.0498"
"2019/01/18","14.0700","90527.0000","14.1300","14.1500","14.0700"
"2019/01/17","14.1000","52963.0000","14.1200","14.1200","14.0700"
"2019/01/16","14.1100","77448.0000","14.0800","14.1100","14.0500"
"2019/01/15","14.0600","66010.0000","14.0500","14.0800","14.0200"
"2019/01/14","14.0200","51910.0000","14.0600","14.0600","14.0000"
"2019/01/11","14.0800","66192.0000","14.0500","14.1000","14.0200"
"2019/01/10","14.0700","93446.0000","14.0800","14.0800","14.0100"
"2019/01/09","14.1000","138202.0000","14.1400","14.1400","14.0600"
"2019/01/08","14.0900","128239.0000","14.0600","14.1033","14.0300"
"2019/01/07","13.9900","109290.0000","13.6900","14.0100","13.6900"
"2019/01/04","13.6600","131887.0000","13.5800","13.7100","13.5800"
"2019/01/03","13.5600","104005.0000","13.5300","13.6200","13.5100"
"2019/01/02","13.5600","83380.0000","13.3400","13.5600","13.3300"
"2018/12/31","13.3700","400871.0000","13.4100","13.5000","13.3300"
"2018/12/28","13.4100","399657.0000","13.3100","13.4500","13.3000"
"2018/12/27","13.4000","243655.0000","13.3500","13.4750","13.3400"
"2018/12/26","13.5100","343342.0000","13.2000","13.5700","13.1750"
"2018/12/24","13.1800","164828.0000","13.1500","13.2200","13.0800"
"2018/12/21","13.1200","351013.0000","13.1400","13.2900","13.1200"
"2018/12/20","13.2100","457536.0000","13.4000","13.4200","13.0000"
"2018/12/19","13.4900","258326.0000","13.5800","13.6400","13.4829"
"2018/12/18","13.6700","251662.0000","13.6000","13.6700","13.5400"
"2018/12/17","13.5600","290907.0000","13.6500","13.6982","13.5600"
"2018/12/14","13.6800","214562.0000","13.8000","13.8200","13.6800"
"2018/12/13","13.8200","130231.0000","13.8700","13.9100","13.7900"
"2018/12/12","13.8700","258720.0000","14.0800","14.0800","13.8400"
"2018/12/11","14.1000","172041.0000","14.0900","14.1000","14.0200"
"2018/12/10","14.0300","127721.0000","14.0000","14.0400","13.9200"
