"date","close","volume","open","high","low"

"2019/03/08","120.7000","2261293.0000","121.1900","121.5400","119.9900"
"2019/03/07","122.2200","2043334.0000","125.1300","125.1600","122.0700"
"2019/03/06","125.1200","1642039.0000","125.1800","125.8400","124.8200"
"2019/03/05","125.2200","1775864.0000","124.0000","125.5700","124.0000"
"2019/03/04","123.9400","2090752.0000","126.4900","126.4900","122.3400"
"2019/03/01","124.4500","4382896.0000","125.4900","126.5500","122.2300"
"2019/02/28","125.2700","3300998.0000","126.7600","127.0000","125.0100"
"2019/02/27","126.9300","2165122.0000","127.6500","128.6350","126.6400"
"2019/02/26","128.5700","1971278.0000","128.1900","129.9000","128.1700"
"2019/02/25","128.4800","2309766.0000","129.6900","130.1600","128.4200"
"2019/02/22","128.8400","2085733.0000","127.9300","129.7200","127.5700"
"2019/02/21","127.3700","2892987.0000","127.0400","128.2500","125.4500"
"2019/02/20","126.9700","3327196.0000","122.5400","127.2700","121.9500"
"2019/02/19","122.0300","2618167.0000","120.2900","122.4000","120.1500"
"2019/02/15","121.0500","2011105.0000","119.8000","121.5999","118.8100"
"2019/02/14","118.6200","1785429.0000","118.1400","118.8100","116.6400"
"2019/02/13","118.8600","2293535.0000","116.0000","119.6100","115.9300"
"2019/02/12","114.7400","2374481.0000","116.4100","116.7700","114.4900"
"2019/02/11","115.6500","992247.0000","115.8600","116.6900","115.4600"
"2019/02/08","115.4800","1381292.0000","114.5800","115.5100","114.5800"
"2019/02/07","115.5200","1358563.0000","116.4200","116.8300","114.7600"
"2019/02/06","117.2700","1555807.0000","116.7700","117.7500","116.6650"
"2019/02/05","116.9100","1448858.0000","115.9700","117.0000","115.7679"
"2019/02/04","115.6500","1067009.0000","114.6800","115.6900","114.4300"
"2019/02/01","114.5700","1540808.0000","114.7900","115.2000","114.0100"
"2019/01/31","114.5300","2279965.0000","113.6000","115.0300","112.6794"
"2019/01/30","113.6400","2495948.0000","111.7500","113.7750","111.0200"
"2019/01/29","111.1200","1185910.0000","110.4700","111.3400","109.9800"
"2019/01/28","110.5300","1348094.0000","109.1100","110.8400","108.7400"
"2019/01/25","109.8500","1586916.0000","109.1800","109.9300","107.8100"
