"date","close","volume","open","high","low"

"2019/03/08","63.4900","2705821.0000","62.8700","63.5300","62.6600"
"2019/03/07","63.3700","4593908.0000","64.3500","64.3600","63.1450"
"2019/03/06","64.7900","2706329.0000","66.0000","66.1000","64.5400"
"2019/03/05","66.2400","4520462.0000","66.0400","66.6200","65.0600"
"2019/03/04","66.2200","4410939.0000","66.3600","67.2484","65.6100"
"2019/03/01","66.2800","5725995.0000","65.1400","66.5300","65.0050"
"2019/02/28","64.8700","2925338.0000","65.1900","65.4750","64.7600"
"2019/02/27","65.1600","3389867.0000","65.0300","65.3900","64.6700"
"2019/02/26","65.3700","3405526.0000","65.5500","66.1300","64.9375"
"2019/02/25","65.7700","3719368.0000","66.6100","66.7800","65.7400"
"2019/02/22","66.2700","3338754.0000","66.7400","66.7400","65.9800"
"2019/02/21","66.6600","4447567.0000","66.6500","67.0200","66.2900"
"2019/02/20","66.5500","4553799.0000","65.6900","66.6900","65.3900"
"2019/02/19","65.6500","4343823.0000","64.6700","65.8200","64.2800"
"2019/02/15","65.1200","4437529.0000","64.7300","65.5100","64.5200"
"2019/02/14","64.0300","4870942.0000","64.1000","64.2100","63.2300"
"2019/02/13","64.6500","5658920.0000","65.5200","65.8300","64.6000"
"2019/02/12","65.5600","5454157.0000","65.2600","66.0200","65.2000"
"2019/02/11","64.7700","5099814.0000","64.5400","64.9600","64.3700"
"2019/02/08","64.3700","9170722.0000","64.7100","65.0300","63.8400"
"2019/02/07","64.7200","24653390.0000","65.6900","66.2100","62.5800"
"2019/02/06","58.7400","2915422.0000","59.0200","59.5200","58.3000"
"2019/02/05","59.1400","3425242.0000","59.5100","59.5100","58.5100"
"2019/02/04","59.4400","6637057.0000","59.3600","59.5100","59.0000"
"2019/02/01","59.4700","3842469.0000","59.6000","60.0350","59.3900"
"2019/01/31","59.4200","6977848.0000","60.1700","60.5900","58.9000"
"2019/01/30","60.6200","4060308.0000","61.4600","61.5000","60.5300"
"2019/01/29","61.4000","3536267.0000","61.6200","62.0100","61.3300"
"2019/01/28","61.7400","4732971.0000","61.2300","61.8300","60.5500"
"2019/01/25","61.9000","4220863.0000","61.7300","62.4000","61.1174"
"2019/01/24","61.2200","4764250.0000","60.2600","61.4300","60.2600"
"2019/01/23","60.5600","3448126.0000","60.6900","61.0000","60.0800"
"2019/01/22","60.3600","6635000.0000","60.2200","60.7750","59.8500"
"2019/01/18","60.7200","5509460.0000","62.0000","62.1300","59.0400"
"2019/01/17","58.0400","5230727.0000","57.0800","58.2800","56.6900"
"2019/01/16","57.3600","3971977.0000","56.9000","57.6500","56.1400"
"2019/01/15","55.9900","5894128.0000","56.1200","56.3700","55.3700"
"2019/01/14","56.1400","5569620.0000","55.2500","56.3800","55.0600"
"2019/01/11","55.7700","4270955.0000","54.9300","56.3400","54.7700"
"2019/01/10","55.3700","4334853.0000","55.2800","55.7000","54.8100"
"2019/01/09","55.4600","4740750.0000","54.8100","55.8500","54.5200"
"2019/01/08","54.7800","6841297.0000","55.0000","55.0000","54.0700"
"2019/01/07","54.6700","6003536.0000","53.5500","55.2000","53.4900"
"2019/01/04","53.7400","4652578.0000","52.9600","53.8500","52.7500"
"2019/01/03","51.9300","5219978.0000","51.5900","52.6400","51.4600"
"2019/01/02","51.8700","5227985.0000","49.7800","51.9200","49.7800"
"2018/12/31","50.4400","4650367.0000","50.1000","50.5700","49.6300"
"2018/12/28","49.7800","4468051.0000","49.6900","50.3900","49.3700"
"2018/12/27","49.5400","6104232.0000","48.1900","49.5600","47.9130"
"2018/12/26","49.2000","6055449.0000","47.2000","49.2000","46.0500"
"2018/12/24","46.9000","3031714.0000","48.0000","48.2100","46.8800"
"2018/12/21","48.5000","8835206.0000","48.5100","49.6400","48.1500"
"2018/12/20","48.7400","6854920.0000","48.9000","49.8500","48.1700"
"2018/12/19","49.4000","6999788.0000","50.6800","51.3900","48.9800"
"2018/12/18","50.8500","5051927.0000","52.0600","52.4700","50.5150"
"2018/12/17","51.7900","5626581.0000","51.9500","52.9100","51.5200"
"2018/12/14","52.1800","6092345.0000","52.4000","53.4500","52.0350"
"2018/12/13","53.0700","5386204.0000","54.8100","54.9200","52.8301"
"2018/12/12","54.6300","5599841.0000","55.5700","55.5700","53.9000"
"2018/12/11","54.5100","4217221.0000","56.2900","56.5199","54.3300"
"2018/12/10","55.5700","3512785.0000","56.5000","56.7900","54.7500"
